section	source_file	source_sha256	epithelial_state	bin_low	bin_high	count	genes_tested	min_p_adenoma_vs_normal	min_FDR_adenoma_vs_normal	adenoma_vs_normal_nominal_p_0_05	adenoma_vs_normal_FDR	adenoma_vs_normal_FDR_0_10	plus_abs_log2FC	plus_cancer_vs_normal_same_direction	plus_cancer_vs_normal_sustained_magnitude	plus_cancer_vs_adenoma_nonopposing_or_plateau	cancer_vs_adenoma_FDR	cancer_vs_normal_FDR
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Absorptive	0.9500000000000001	1.0	2317.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.0	0.05	203.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.05	0.1	185.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.1	0.15000000000000002	202.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.15000000000000002	0.2	135.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.2	0.25	204.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.25	0.30000000000000004	108.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.30000000000000004	0.35000000000000003	215.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.35000000000000003	0.4	197.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.4	0.45	292.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.45	0.5	261.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.5	0.55	321.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.55	0.6000000000000001	276.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.6000000000000001	0.65	474.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.65	0.7000000000000001	404.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.7000000000000001	0.75	415.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.75	0.8	479.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.8	0.8500000000000001	721.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.8500000000000001	0.9	841.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.9	0.9500000000000001	1303.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Adenoma_like	0.9500000000000001	1.0	1290.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.0	0.05	469.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.05	0.1	394.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.1	0.15000000000000002	574.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.15000000000000002	0.2	766.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.2	0.25	1151.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.25	0.30000000000000004	1099.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.30000000000000004	0.35000000000000003	1341.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.35000000000000003	0.4	1295.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.4	0.45	1263.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.45	0.5	1164.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.5	0.55	1264.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.55	0.6000000000000001	1247.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.6000000000000001	0.65	1259.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.65	0.7000000000000001	1424.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.7000000000000001	0.75	1380.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.75	0.8	1451.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.8	0.8500000000000001	1631.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.8500000000000001	0.9	1641.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.9	0.9500000000000001	1764.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Cycling	0.9500000000000001	1.0	1991.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.0	0.05	1232.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.05	0.1	844.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.1	0.15000000000000002	878.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.15000000000000002	0.2	1096.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.2	0.25	1292.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.25	0.30000000000000004	1285.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.30000000000000004	0.35000000000000003	1218.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.35000000000000003	0.4	1294.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.4	0.45	1261.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.45	0.5	1326.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.5	0.55	1251.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.55	0.6000000000000001	1312.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.6000000000000001	0.65	1216.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.65	0.7000000000000001	1371.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.7000000000000001	0.75	1495.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.75	0.8	1455.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.8	0.8500000000000001	1471.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.8500000000000001	0.9	1662.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.9	0.9500000000000001	1583.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDR_histogram_bins	${SYSTEM_TEMP}/crc_stage11b_remote_source/pseudobulk_results.tsv	d217f8a76153ca2829a74c47f45fe97414c6e81e1189b4ba535f8effb81b7696	Stem_progenitor	0.9500000000000001	1.0	2028.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Absorptive	NA	NA	NA	15472	7.16769955847022e-06	0.0866462872804574	2850	0	79	0	0	0	0	548	2958
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Adenoma_like	NA	NA	NA	4263	1.43761760743896e-05	0.0518820132803754	395	0	7	0	0	0	0	203	654
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Cycling	NA	NA	NA	12284	1.09755838730537e-05	0.0625182128621484	1973	0	16	0	0	0	0	469	2574
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Stem_progenitor	NA	NA	NA	13285	9.48832320403311e-06	0.0534421054940975	2214	0	134	0	0	0	0	1232	3321
