section	source_file	source_sha256	feature	epithelial_state	analysis	effect	CI95_low	CI95_high	p_value	FDR	standard_error	df_total	feature_type	contrast	n_normal_donors	n_adenoma_donors	n_cancer_donors	donor_correlation	model_formula	gene	full_effect	n_evaluable_omissions	sign_stability	median_LODO_effect	passes_LODO
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AC113414.1	-1.06969465713506	4	1	-1.07773423559848	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LINC01846	-1.73629733556073	4	1	-1.7051063464618	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAMDC2-AS1	-1.09291561181896	4	1	-1.10402285633946	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR3C1	-1.35082476525721	4	1	-1.36256119889567	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR5A2	-1.54241062080628	4	1	-1.47186056355599	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REG4	3.57388463274703	4	1	3.70191283634319	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RPL36	1.14005012121007	4	1	1.13345264244983	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UBA52	1.3152984789568	4	1	1.31954682912518	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BCAP31	1.09481590719266	4	1	1.08702015920396	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CCDC85B	1.65675978359527	4	1	1.6480197970907	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DSCAML1	-1.53944333610091	4	1	-1.54920289547409	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAOA	-1.17292789156151	4	1	-1.19113726274527	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RBFOX1	-1.00485211298261	4	1	-1.04689118354283	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RPL29	1.17357086792928	4	1	1.14204143900022	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMD3	-2.09514821868034	4	1	-2.12115020629014	TRUE
LODO	results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv	f1b9fbaa1eeb9683cea41b80d011a93223a831bccc5c41a70a7eb8da45a07006	NA	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	-1.35799203796353	4	1	-1.3668947990014	TRUE
