section	source_file	source_sha256	dataset	scope	module_id	donor_id	normal_score	adenoma_score	difference	direction	contrast	effect	effect_unit	ci_low	ci_high	p_value	FDR	n_donors	donor_ids	inferential_unit	model	adjustment_set	direction_by_donor	status	audit_id	category	nested_unit	n_donors_or_units	degrees_of_freedom	model_or_formula	effect_definition	ci_and_p_algorithm	multiplicity_family	multiplicity_method	pairing_batch_covariates	audit_result	evidence	limitations
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M10	A001	4.66122514272678	5.40331383395783	0.742088691231055	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M10	A002	4.76654977944334	5.25845676235775	0.491906982914403	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M10	A014	4.17433434473975	6.22020963845846	2.04587529371871	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M10	A015	5.08108424112436	5.84466048637433	0.763576245249974	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M12	A001	4.97654299738174	5.61101132214959	0.634468324767859	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M12	A002	6.04279983985579	6.61571019949543	0.572910359639636	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M12	A014	4.47878911156141	5.80752777888907	1.32873866732767	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M12	A015	5.62816524792603	6.13597739551626	0.507812147590226	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M16	A001	3.49752899553681	4.17329448251633	0.675765486979522	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M16	A002	3.57878936944121	4.2433425649411	0.664553195499889	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M16	A014	3.00052762857367	4.43091699896222	1.43038937038854	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	All_epithelial	Stem_progenitor_SB_M16	A015	3.52976844992172	4.26829045947955	0.738522009557834	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M02	A001	6.51559402122642	7.44279287622478	0.927198854998366	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M02	A002	6.76430418556944	7.44651843018063	0.682214244611188	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
