section	source_file	source_sha256	module_id	early_condition	late_condition	n_donors	effect	ci_low	ci_high	standardized_effect	p_value	lodo_sign_stability	max_absolute_donor_contribution	donor_ids	cohort	contrast	fdr	expected_discovery_effect	expected_direction	direction_concordant	strong_opposite	donor_robust	discovery_epithelial_state	evidence_hierarchy	GSE161277_normal_to_adenoma_effect	GSE161277_normal_to_adenoma_ci_low	GSE161277_normal_to_adenoma_ci_high	GSE161277_normal_to_adenoma_fdr	GSE161277_normal_to_adenoma_direction_concordant	GSE161277_normal_to_adenoma_lodo	GSE132465_normal_to_cancer_effect	GSE132465_normal_to_cancer_ci_low	GSE132465_normal_to_cancer_ci_high	GSE132465_normal_to_cancer_fdr	GSE132465_normal_to_cancer_direction_concordant	GSE132465_normal_to_cancer_lodo	epithelial_specificity_effect	epithelial_specificity_ci_low	epithelial_specificity_ci_high	epithelial_specificity_fdr	epithelial_specificity_positive	epithelial_specificity_lodo	strong_opposite_effect	replication_class	validation_gene_reselection	donor_id	difference	n_conditions
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M12	adenoma	cancer	3	-0.360600571674837	-1.25730481440883	0.536103671059159	-0.998970938561646	0.22572246928439	1	0.700657176379896	Patient1;Patient2;Patient3	GSE161277	adenoma_to_cancer	0.453239893390438	0.216085921028096	1	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M16	adenoma	cancer	3	0.181941019700017	-0.394237072527077	0.75811911192711	0.784421612776253	0.307199392397762	1	0.605632907481542	Patient1;Patient2;Patient3	GSE161277	adenoma_to_cancer	0.460799088596644	0.689460818442434	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Cycling_SB_M01	normal	cancer	3	-0.574626120090067	-1.24987952918064	0.10062728900051	-2.11394773555454	0.0671639005304438	1	0.49901737608779	Patient1;Patient2;Patient3	GSE161277	normal_to_cancer	0.182412794089673	-1.71940621437771	-1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Cycling_SB_M02	normal	cancer	3	0.241051921484327	-0.541147787160117	1.02325163012877	0.765541283167735	0.316022856834512	1	0.49492541818411	Patient1;Patient2;Patient3	GSE161277	normal_to_cancer	0.34485540858328	1.27536268683837	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M02	normal	cancer	3	1.18292595818014	0.322482657384141	2.04336925897614	3.41515934891377	0.0274100322911891	1	0.408086288462543	Patient1;Patient2;Patient3	GSE161277	normal_to_cancer	0.164460193747135	0.788025829152807	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M10	normal	cancer	3	0.213638808499077	-0.535911478912902	0.963189095911056	0.708035511157462	0.34485540858328	1	0.486497024351291	Patient1;Patient2;Patient3	GSE161277	normal_to_cancer	0.34485540858328	0.788222694251721	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M12	normal	cancer	3	-0.190262941578575	-0.773831663960144	0.393305780802994	-0.80991206381834	0.295761712697177	1	0.508708089931949	Patient1;Patient2;Patient3	GSE161277	normal_to_cancer	0.34485540858328	0.742926591448534	1	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M16	normal	cancer	3	1.03566803354939	-0.410999527293041	2.48233559439183	1.77839200147418	0.0912063970448367	1	0.524192464233203	Patient1;Patient2;Patient3	GSE161277	normal_to_cancer	0.182412794089673	1.54512473822701	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Cycling_SB_M01	normal	cancer	8	-0.773102298641274	-1.17757314288506	-0.368631454397486	-1.5979636243807	0.00273305418828985	1	0.161279889382384	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	0.00327966502594782	-1.71940621437771	-1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Cycling_SB_M02	normal	cancer	8	0.445051916293867	0.346076716967382	0.544027115620353	3.75925197185738	1.42570879709513e-05	1	0.172383704872083	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	8.55425278257077e-05	1.27536268683837	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M02	normal	cancer	8	1.05599064921351	0.722076522690608	1.38990477573642	2.64388417759043	0.000139867864398206	1	0.170559940153048	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	0.000419603593194617	0.788025829152807	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M10	normal	cancer	8	0.373017397325321	0.23545980917665	0.510574985473992	2.26705303933351	0.000363048450183957	1	0.204782738390776	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	0.000544572675275935	0.788222694251721	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M12	normal	cancer	8	-0.13366061944847	-0.328416855036436	0.0610956161394966	-0.573758647159908	0.148654370138722	1	0.248352703315006	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	0.148654370138722	0.742926591448534	1	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M16	normal	cancer	8	0.915719366119924	0.587588519202304	1.24385021303754	2.3330953356237	0.000304592567360003	1	0.187492229475173	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	0.000544572675275935	1.54512473822701	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Cycling_SB_M01	median_non_epithelial	epithelial	23	0.487584786623405	0.390301192285786	0.584868380961025	2.16734871246883	5.94593775346303e-10	1	0.0983066148242459	SMC01;SMC02;SMC03;SMC04;SMC05;SMC06;SMC07;SMC08;SMC09;SMC10;SMC11;SMC14;SMC15;SMC16;SMC17;SMC18;SMC19;SMC20;SMC21;SMC22;SMC23;SMC24;SMC25	GSE132465	epithelial_specificity	8.91890663019455e-10	1	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
