cohort_or_context	geneset_id	canonical_module_size	mapped_size	gene	gene_order	weight	role	hash_or_provenance
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	AC016831.7	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	ADAMTSL2	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	AL022068.1	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	AP001636.3	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	APCDD1	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	ARID3A	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	ASCL2	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	AXIN2	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	BACE2	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	CEMIP	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	CTNNA2	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	DACH1	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	GALNT6	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	GNGT1	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	GRIN2B	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	GRM8	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	ITGA9	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	ITPR2	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	KCTD16	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	KLF7	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	LINC01605	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	LINC01748	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
